,horario,local,texto,relevancia
0,2020-08-22 19:53:38,Alagoas ,@Enaldinho1 @uselolja @QGDoEnaldinho Chuva #MPN #Enaldinho,0
1,2020-08-22 18:30:26,𝒂𝒕𝒂𝒍𝒂𝒊𝒂,"""– Hayden. O nome dele será Hayden.""
(Chuva - Livro II)",0
2,2020-08-22 18:16:59,𝒂𝒕𝒂𝒍𝒂𝒊𝒂,Ainda tô no prólogo de Chuva e já senti vontade de chorar duas vezes... A Alycia de 15 anos me olharia exasperada.,0
3,2020-08-22 18:16:13,𝒂𝒕𝒂𝒍𝒂𝒊𝒂,"""Ela soluçava ruidosamente. Era um choro partido e desesperado, de tal modo que o frágil coração de Selina quebrou-se. Porque ela já chorara daquela forma uma vez – e reconhecia aquela dor quando a via.""
(Chuva - Livro II)",0
4,2020-08-22 17:49:46,𝒂𝒕𝒂𝒍𝒂𝒊𝒂,"""A chuva estava quase chegando.""
(Chuva - Livro II)",0
5,2020-08-22 17:29:20,𝒂𝒕𝒂𝒍𝒂𝒊𝒂,É oficial: comecei a revisão de Chuva para colocar na Amazon. Talvez hajam até novas cenas... Quem sabe.,0
6,2020-08-22 16:52:59,Maceió,"@rebecadrumonda Que coisa fofa! Pulando e ""dançando na chuva""😀😍",0
7,2020-08-22 16:27:03,"Maceió, Brasil",Água de chuva não sobe ladeira ! nuncaa,0
8,2020-08-22 12:52:53,"Maceió, Brasil","ficam com esse papo de ""ai a vida imita a arte ai a arte imita a vida pipipopo"", por isso q aparece uns merdas desse falando q nao gosta de frio/neve/chuva pq o filme Parasita",0
9,2020-08-22 12:38:50,Pilar city,@richardlc8 nem chuva te para né piranha,0
10,2020-08-22 11:09:00,"Maceió, Alagoas","@playgodsf é, total... e por causa de uma larry sem noção vem uma chuva de hate ao shipp",0
11,2020-08-22 10:49:59,"Maceió, Brasil","Ontem eu tava de folga querendo ir q praia (chuva o dia todo) 
Hoje vou trabalhar UM SOL DE RACHAR",0
12,2020-08-22 10:26:50,"Maceió, Brasil","O medo meu pai de sair do quarto e ver chuva, obg Deus pelo solllllll",0
13,2020-08-22 09:52:59,Pilar ,Preciso sair pra concerta a moto agitar a vida e essa chuva mandada não parar 😩,1
14,2020-08-22 09:21:42,"Maceió, Brasil",@ttdopaz paz me notando?? hj chove,0
15,2020-08-22 06:30:10,"Maceió, Brasil","@itxrenataf Né isso Rê.
Aqui hoje os carros amanheceu todos molhados mais não de chuva e sim da neblina.",0
16,2020-08-22 04:41:55,"Maceió, Brasil","CHOVE
EM
MIM",0
17,2020-08-22 02:25:59,Maceió - Alagoas - Brasil,"@faveleirajj @PrincesinhaGti1 @BiodiversidadeB Não deixa de chover por falta de vegetação em lugar nenhum do mundo, tem vegetação pq chove, não é o contrário.",0
18,2020-08-21 23:17:21,Brasil Maceió,@adolfo_moraiss Odeio frio e chuva pq lembro das pessoas e animais que não tem um lar. Fico angustiada,0
19,2020-08-21 22:43:41,"Alagoas, Brasil","Se tem uma coisa que me deixa pra baixo, é ver pessoas sem um teto sem ter oq comer, sem pais, viver na miséria embaixo de sol e chuva isso me deixa mttttt triste de vdd https://t.co/olOePWXvkK",0
20,2020-08-21 22:36:44,mcz city,"se eu tivesse fãs, seria um grande período de tristeza por escassez de arte nova, depois do nada: uma chuva de coisa num dia só",0
21,2020-08-21 22:30:08,Maceió/AL,"@adolfo_moraiss Também!! Não consigo mais gostar de dormir com barulho de chuva, fico angustiada",0
22,2020-08-21 22:17:42,"Maceió, Brasil","Podem dizer que virei o chato do rolê, mas depois de ""Parasita"" e depois de matérias com gente morrendo de frio no Brasil, nunca mais eu digo frases como:

""Amo dormir com som de chuva"", ""Amo o inverno"", ""o frio é chique"".",0
23,2020-08-21 20:56:09,"Alagoas, Brasil","o que de tão ruim pode acontecer???? você tomar um não mas daí você segue sua vida ué :) 
melhor que ficar de brincadeirinha, chove e não molha, indiretas

essas coisas abrem precedentes pra muitas interpretações, eu tenho um total de 0 paciências",0
24,2020-08-21 18:54:20,"Alagoas, Brasil","@Joaoguiavila Chuva 
#MPN #JoaoGuilherme #JoaoGuilhermeStyle #JoaoEJade #Enaldinho #LorenaQueiroz #BrunaMarquezineInspiracao #PablloVittar #Bambole",0
25,2020-08-21 18:39:52,"Maceió, Brasil","@IvannescaA Aqui tá chovendo mas faz calor, temos o clima louco nessa época,  chove forte e abre sol, daí a noite a brisa do mar vem fria, porém o calor fica",0
26,2020-08-21 17:42:38,"Maceió, Brasil","@RonaldoApOlive1 Eu trocaria, aqui até quando chove é quente 😔",0
27,2020-08-21 17:32:16,Maceió - AL,"É muito bom viver em Maceió e ter mais dias de sol do que de chuva/frio pois isso me torna produtiva, deus me livre viver em um lugar que faz -3 o ano inteiro, eu me tornarei um vegetal",0
28,2020-08-21 17:32:06,Forno que é Maceió,RT @vagabadearaque: oxe pois pode ficar com a neve amado pq eu msm não aguento mais nem a chuva,0
29,2020-08-21 17:31:14,"Maceió, Brazil",oxe pois pode ficar com a neve amado pq eu msm não aguento mais nem a chuva https://t.co/BUKMt0OYJZ,0
30,2020-08-21 16:59:13,"Alagoas, Brasil","Chuva 
#MPN #JoaoGuilherme #JoaoGuilhermeStyle #JoaoEJade #Enaldinho #LorenaQueiroz #BrunaMarquezineInspiracao #PablloVittar #Bambole",0
31,2020-08-21 13:53:03,"Maceió, Brasil",@tabataamaralsp MENTIROSA - se eu disser uma pessoa para dialogar vc corre como gato corre da chuva,0
32,2020-08-21 13:49:16,"Maceió, Brasil",Nada a ver essa chuva aí,1
33,2020-08-21 12:54:03,"Maceió, Brasil",deu na previsão que hoje a chuva é de whisky,0
