,horario,local,texto,relevancia
0,2020-08-22 20:48:03,"Manaus, Brasil ","RT @cigarctic: ventou, ventou, ventou e nenhuma chuva

porra manaus",0
1,2020-08-22 20:39:24,,RT @vitrrhugo: quando chove em manaus https://t.co/iv3lHxrnSn,0
2,2020-08-22 20:38:49,"Manaus, Brasil",@tiagotheworld Amo q ela levou chuva de unf mas a galera já voltou em dobro,0
3,2020-08-22 20:03:03,"Manaus, Brasil",@dunburnt Pior que eu fui olhar agora e tá com mó pinta de chuva. Somos 2 iludidos,0
4,2020-08-22 19:46:21,Manaus,RT @vitrrhugo: quando chove em manaus https://t.co/iv3lHxrnSn,0
5,2020-08-22 19:45:59,"Manaus, Brazil",Parece que vem uma chuva das grades e hoje mais do que nunca eu digo rain on me caralho,0
6,2020-08-22 19:31:32,Manaus - AM,"“Chuva: Os Dez Cavaleiros” é obra de Caio Porfírio Carneiro. Conto. São Paulo, Editora Hucitec, 1977. O nosso abraço fraterno aos capixabas de Serra, Vila Velha, Guarapari, Colatina, Aracruz e Viana. Acervo do escritor Raimundo Colares Ribeiro.
#Literatura #Escritores #Livros https://t.co/0xmi61nulF",0
7,2020-08-22 19:26:40,"Manaus, Brasil",@hebk___ o que tá acontecendo que tá uma chuva de filme da DC hoje????,0
8,2020-08-22 19:26:28,Paris dos Trópicos,RT @anticristah: A PREVISÃO DO TEMPO DIZ Q O CÉU FECHOOOOU O PODER NA VITÓRIA VAI CURAR A DOR O TEMPORAL AGORA VAI CAIR EM MIM A CHUVA DA V…,0
9,2020-08-22 19:25:14,Manaus,"pensando seriamente e sair pra correr, mas fica nesse chove não chove é complicated",0
10,2020-08-22 19:18:40,"Manaus, Amazonas","Os brasilienses agora estão mais tranquilos, depois de tanto tempo finalmente uma chuva pra agradar o clima. Demorou, mas finalmente chegou. #DF2",0
11,2020-08-22 18:41:52, São Paulo - Brazil,"RT @portaldoholanda: Após expectativa pelo frio, Manaus amanhace com chuva neste sábado  https://t.co/CtVpBKXU7l https://t.co/NNDhlgI1dY",0
