,horario,local,texto,relevancia
0,2020-08-21 20:57:24,salvador bahia,"@LuciaLo20914588 🤣🤣🤣 vdd!
Morei em Belém, chove e não muda nada! Calor da desgraça mesmo!",0
1,2020-08-21 20:50:01,"Salvador, Brasil","Que conversa é essa que vcs querem neve aqui em salvador? Se quando chove a rua fica uma imundície, imagine a neve junto com a lama... tranca o cu, deixe de Maluquice",0
2,2020-08-21 20:34:33,Salvador,Toda vez que chove eu oro pedindo a Deus que proteja as pessoas em situação de rua consigam encarar esse momento difícil https://t.co/gV4ZELfhlL,0
3,2020-08-21 20:19:56,João Pessoa/PB,RT @jrmutti: @MarquinhosAssu2 @simpraisa Morei aí 10 meses. Até que choveu bem mas foi considerado hiper atípico. Em outras viagens nunca v…,0
4,2020-08-21 20:04:13,,"RT @MarcilioJuniior: Sexta feira, frio do caralho, chuva e eu no terreiro... A vida do candomblecista é uma luta viu",0
5,2020-08-21 19:56:09,"Salvador, Brasil","Sexta feira, frio do caralho, chuva e eu no terreiro... A vida do candomblecista é uma luta viu",0
6,2020-08-21 19:38:14,"Bahia, Brasil",Hj foi horrível trabalhar nessa chuva,0
7,2020-08-21 19:17:24,"Salvador, Brasil ",Só queria poder lavar meu cabelo pra me sentir biito e não a água suja do córrego depois de uma chuva que os dejetos tamparam as bocas de lobo,0
8,2020-08-21 18:35:46,"Salvador, Brasil","@mina_boba_ @mile_bs Sim, penso nisso demais! Um exemplo aqui de Salvador, quando chove as vulnerabilidades da cidade se acentuam né? encosta, enchentes e casas desabando... eu agradeço pela chuva e peço por quem precisa, e ajudo no que posso...",0
9,2020-08-21 18:14:47,"Salvador, Bahia","#StockCar2020 #StockCar #Interlagos #CesarRamos 

https://t.co/hhcjPJyt23",0
10,2020-08-21 18:11:47,Salvador - BA,Netflix cancelou The Society que inferno!!! A série tinha um potencial imenso e muito melhor q a da Academia do Guarda Chuva,0
11,2020-08-21 18:09:24,"Salvador, Brasil",RT @jrmutti: @MarquinhosAssu2 @simpraisa Morei aí 10 meses. Até que choveu bem mas foi considerado hiper atípico. Em outras viagens nunca v…,0
12,2020-08-21 17:57:03,,RT @jrmutti: @MarquinhosAssu2 @simpraisa Morei aí 10 meses. Até que choveu bem mas foi considerado hiper atípico. Em outras viagens nunca v…,0
13,2020-08-21 17:53:38,Salvador - Brasil,@MarquinhosAssu2 @simpraisa Morei aí 10 meses. Até que choveu bem mas foi considerado hiper atípico. Em outras viagens nunca vi chuva em FOR. A última foi no glorioso 2x1 de virada que assisti no Castelão lotado. https://t.co/xohmF2SrpG,1
14,2020-08-21 17:35:16,"Salvador, Brasil","@kapriniss A galera do nordeste na aguenta frio. Kkkkk deixa assim. 19° de temperatura e a sensação é de -10° c kkkkkkkkkk. Deixa o nosso sol, chuva no necessário e o friozinho discarado kkkk",0
15,2020-08-21 16:58:14,"Salvador, Brasil","@shipposanvers Vlh, quando eu vou no interior em época de chuva e frio eu já uso meia, imagina aí em SP HSUSHSHS",0
16,2020-08-21 16:28:21,"Calor, Quintura & Mormaço","RT @imdbraz: Olhem para o céu durante todo o dia 23, teremos uma chuva de estrelas cadentes!! Aiaiai, acho que uma delas vai cair bem na mi…",0
17,2020-08-21 16:24:35,"Salvador, Brasil","Do nada, chuva em Salvador",0
18,2020-08-21 16:12:03,"Salvador, Brasil","@RodrigoMaia Não fez nada mais que sua obrigação que, aliás, você não está acostumado a fazer, não é mesmo?! 

Se está esperando algum elogio, melhor tirar a cavalaria inteira da chuva.",0
19,2020-08-21 16:04:37,Brasil,"RT @imdbraz: Olhem para o céu durante todo o dia 23, teremos uma chuva de estrelas cadentes!! Aiaiai, acho que uma delas vai cair bem na mi…",0
