,horario,local,texto,relevancia
0,2020-08-22 11:03:59,Campina Grande- Paraíba,"santa chuva é foda, triste dms",0
1,2020-08-22 02:54:42,"Campina Grande, Brasil","@carlalarrat @loranmoreira_ eu quero chuva, comprei um casaco e quero usar🤡🤡🤡🤡🤡🤡",0
2,2020-08-21 22:23:54,Campina Grande,@YagoCostat rapaz a brisa não pode ver chuva kkk,0
3,2020-08-21 21:28:11,"Campina Grande, Brasil","E essa chuva ein??? 💢🖤

#SuperLiveVascoTV",1
4,2020-08-21 21:22:21,Campina Grande-Paraíba,"""Vou por a ""FOTO de minha CIDADE"" aqui pra vcs a conhecerem. É a TERRA do ""MAIOR SÃO JOÃO DO MUNDO"". Este ano não teve ""A FESTANÇA"", nem FOGUEIRA ACENDERAM. Faz duas SEMANAS que ""CHOVE FINO"" e o CALOR é insuportável."" GOSTO de FRIO!!!
COISA que aqui não tem.
Um ABRAÇO pra vcs. https://t.co/QHzNGIqLLK",0
5,2020-08-21 20:26:02,cpv,Tomei muita chuva... quem disser que eu n amo oq faço ta mentindo mt,1
6,2020-08-21 18:04:20,cpv,Chuva para por favor pra eu dar uns grauzinho🥺🥺🥺🥺🙏🏻,1
7,2020-08-21 17:25:42,Brazil,#flor #branca #gotas #chuva #flower #white #waterdrop #rain #galaxys9plus #flora #nature #natureza em Campina Grande https://t.co/8I8cpS5HLD,0
8,2020-08-21 15:18:38,Antártida,"Eu sei onde o coelho anda,
Como também sei até onde vai a sua toca.

Pois quando a ""chuva brilhante"" vier
As montanhas será uma morada,
E apenas o seu coração o salvará",0
9,2020-08-21 13:34:42,"Campina Grande-PB, Brasil",@SorayaThronicke Qual a sua dificuldade de entender que funcionários públicos tem salário garantido faça chuva ou sol? Que diferença tem um médico do serviço público do privado? Chega de privilégio! Você errou aceite. O momento ñ é para aumentar salários. #Bolsonaro2022,0
10,2020-08-21 11:21:10,"Campina Grande, Brasil","@WSarai Bateria: ✅
Borrachas: 🚫 (ressecam com efeito sol,chuva,vento, na garagem dificilmente ressecará)
Combustível: ( Dificimente deteriorará com menos de 5 anos, principalmente de for gasolina Premium)🚫",0
11,2020-08-21 10:52:52,"Campina Grande-PB, Brasil",@SorayaThronicke Será seu subconsciente dizendo para você essas palavras? Estamos em uma pandemia! Os funcionários públicos tem salário garantido faça chuva ou sol! Diante de milhões desempregados ou com redução de salários seu posicionamento foi vergonhoso! #Bolsonaro2022,0
12,2020-08-21 10:11:15,"Campina Grande, Brasil","toda vez q eu venho pra o centro de cabelo molhado, chove. pqp",1
13,2020-08-21 09:24:33,cpv ,@gabrelim por enquanto só chuva e neblina . ..,1
14,2020-08-21 08:12:38,João Pessoa,Acordar de 4:30 da manhã eu até aceito. Agora acordar e tá a maior chuva aí já é demais https://t.co/OWOMPWGy2N,1
15,2020-08-21 03:01:44,"Campina Grande, Paraíba,BRASIL","@fee_sf aqui onde eu moro é bem sossegado e tal, mas eu fico olhando pro nada até acabar o expediente... sem contar o frio q é e chove dentro da sala onde eu trabalho 😥😥😂",0
16,2020-08-21 00:45:01,cpv ,Agora a chuva chegou com força kkkkk,1
17,2020-08-21 00:01:12,"Campina Grande, Brasil",ja tem gente querendo cancelar a neve em gramado e em canela dizendo que é chuva congelada,0
18,2020-08-20 18:58:23,Recife/Campina Grande,Do nada essa chuva e esse frio 🥺,1
19,2020-08-20 16:00:16,cpv,Chuva boa,1
20,2020-08-20 08:01:18,"Ingá, Paraiba","Câmera flagra recém-nascido sendo posto na rua sob chuva
https://t.co/UmlYztusRL",0
21,2020-08-19 21:39:30,Planet Earth,"“E você ficou aqui em frente de mim apenas, perto o suficiente para tocar, perto o suficiente para esperar que você não visse o que eu estava pensando. Largue tudo agora, me encontre na chuva, me beije na calçada,… https://t.co/UltrnQVGgk",0
22,2020-08-19 05:36:29,cpv,@klevzs só assunto relevante como chuva,0
23,2020-08-18 23:43:56,"Campina Grande, Brasil",@SENSUALSKRR toró é uma chuva forte,0
24,2020-08-18 23:20:37,"Campina Grande, Brasil",@yagoxtoso uma chuva forte,0
25,2020-08-18 21:37:02,"Campina Grande, Brasil",@chromaticaniby @Octaviafavs e nera uma chuva já é tempestade? ah nao jaja um vulcao,0
26,2020-08-18 08:59:19,Campina Grande,"@braindamxg @LiviaChelles @Ortariow @piscianarca Na verdade a parafilia é pela atração ou impulsos para com pré-puberes, até 13 anos, mais de 13 é conhecido como efebofilia

Mas pedofilia se tornou um termo guarda chuva pra ambas parafilias",0
27,2020-08-18 00:49:31,"Campina Grande, Brasil",@camille_15zs Amém anjo que Deus derrame chuvas de bençãos em sua vida com muito amor e carinho 🙏🥰,0
28,2020-08-17 20:13:20,"Campina Grande, Brasil",chuva fdp do crl,1
29,2020-08-17 09:18:38,cpv,"marquei de fechar o gado c meu pai hj, pq eu combinei aff olha essa chuva  linda p ficar em casa",1
30,2020-08-17 09:18:07,cpv,"mano principalmente ontem, eu pedi tanto pra Deus pra ele mandar chuva, pq eu n tava mais aguentando e hoje eu acordo e vejo que nessa noite choveu muito, acordo e tudo que da pra molhar tava molhado, sério Senhor eu sei que tu me sondas",0
31,2020-08-17 05:44:59,hogsmeade ,"RT @dinizisabelle_: Odeio chuva, me deixa tão aflita😓",0
32,2020-08-17 05:31:27,Cpv ,"Odeio chuva, me deixa tão aflita😓",0
