,horario,local,texto,relevancia
0,2020-08-22 20:59:17,"Cuiabá, Brasil",RT @henricre: @bofumaporro so fumo maconha quando chove e quando nao chove,0
1,2020-08-22 19:00:24,"Cuiabá, Brasil",@bofumaporro so fumo maconha quando chove e quando nao chove,0
2,2020-08-22 16:48:14,"Cuiabá, Brasil",bolinho de chuva eh tão bom,0
3,2020-08-22 14:05:26,"Cuiabá, Brasil",eu no carnaval proucurando a leticia na porra da chuva https://t.co/oouY2V0GT7,0
4,2020-08-22 13:22:26,"Cuiabá, Brasil",Meu pai tá tão enjoado de fica em casa que na chuva ele quer ir pra casa de praia só pra ir em algum lugar diferente kkkk que ponto ele chegou,0
5,2020-08-22 12:00:18,"Cuiabá, Brasil","@vanifior Exatamente, as vezes armo o Black aí na primeira sacudida começa a chuva de cabelos.",0
6,2020-08-22 11:49:05,Cuiabá,"@mari_fonseca Esse lance de “fingir costume” é pra gente chata! Recebi um primo gringo que morou a vida toda na Califórnia. Chegou aqui e viu chuva com raios e trovões, parecia uma criança! Deixa o povo ser feliz oras..",0
7,2020-08-22 09:45:08,"Cuiabá, Mato Grosso","@JanjaLula Em Cuiabá-MT, sequidão. Depois de calor intenso, 40°, chegou um frio gelado. Deu uma garoa só, sem chuva. Agora 12°.",0
8,2020-08-22 03:55:14,"Cuiabá, Brasil",que nojo mlk o pé descalço na chuva sabe o cabelo seboso a roupa feia ah naooo n tem condições direitistas não são GENTE,0
9,2020-08-22 03:51:35,"Cuiabá, Brasil",tinha q ser estadunidense trump fã pra fazer uma porquice dessa de ir descalço na chuva em lugar público no meio de uma pandemia e ainda por cima achar bonito pedir em casamento no meio dessa sujeira https://t.co/SeKT5osERP,0
10,2020-08-22 02:40:25,"Cuiabá, Brasil","E foi chuva de verdade pqp, um temporal....",0
11,2020-08-22 02:40:10,"Cuiabá, Brasil",Eu lembro que em 2016 depois de um agosto horrivel tiveram duas fucking frentes frias em setembro na msma semana e com chuva.... foi a última vez que eu vi frio com chuva em mato grosso...   saudadess,0
12,2020-08-22 02:12:46,"Cuiabá, Mato Grosso",@joaomoraes_ Kakakakak depois que lembrei que era só ácido sulfúrico nessa chuva,0
13,2020-08-21 23:56:31,"Cuiabá, Brasil","Livia toda fofa comigo né, aí rolou o seguinte diálogo

eu: “se você tá pensando que eu vou cair no seu papinho e você vai dormir comigo, pode tirar seu cavalinho da chuva”
ela: “não mesmo?”
eu: não mesmo”, 
ela: “Blz, só não fala mais comigo” 

Kkkkkkkkkkk o auge da carência",0
14,2020-08-21 20:43:05,Cuiabá,"como não? se é separação, de onde é o trovão que anuncia quando a chuva vemmm",0
15,2020-08-21 18:28:18,"Cuiabá, Brasil","Frio pode ir embora.
Chega.
Chuva, pode vir.",0
16,2020-08-21 18:23:26,Cuiabá-MT,"@bthammy Deve ser igual ao Pará. Ou é muito sol, ou é muita chuva.",0
17,2020-08-21 18:00:10,"Cuiabá, Brasil",@EricaTeeixeira bolinho de chuva,0
18,2020-08-21 17:15:48,"Cuiabá, Brasil","“você só gosta de frio pq nunca passou frio de verdade”

passei sim
abaixo de zero
peguei chuva e depois neve
e amo frio

pau no cu de todo mundo",0
19,2020-08-21 15:41:13,Cuiabá-MT,"Se você é daqueles que fica esperando reconhecimento dos outros, pode ir tirando seu cavalinho da chuva. O único que sabe o quanto lutou pra chegar até aqui é só você mesmo.",0
20,2020-08-21 15:00:08,"Cuiabá, Brasil",@natpoulain @adelmondxx @annaaatt @g1 tudo o que precisamos no momento é a chuva,0
21,2020-08-21 14:46:40,"Cuiabá, Brasil","@lunaimi @g1 Olha, eu n me lembro da temperatura em cuiabá baixando gradualmente em toda minha vida kkkkkkkk sempre é brusco, mas o clima ta ficando pior aq, principalmente o regime de chuvas, cada vez menor.",0
22,2020-08-21 14:45:20,"Cuiabá, Brasil",@igaodobic bom caiu um pingo de chuva,0
23,2020-08-21 14:41:21,"Cuiabá, Brasil","@natpoulain @annaaatt @g1 O verão aq é a melhor época, pq pelo menos chove, o resto do ano é seco q nem um deserto (literalmente)",0
24,2020-08-21 14:40:46,"Cuiabá, Brasil",@aizaadora @kamirasan1 cai a chuva e molha o meu amô,0
25,2020-08-21 14:21:11,"Cuiabá, Brasil","@aizaadora @kamirasan1 Vdd, mi salvou sua vida kkkkk E A CHUVA????????? https://t.co/qhe7YogWvU",0
26,2020-08-21 11:52:52,Cuiabá-MT,"@FayerLuciano Ao menos aqui, eu acompanho ele para executar os serviços na obra. Nunca erra em se tratando de chuva. Frio, neve e ainda no RJ eu não sei. Kkkkkkkkkk. Do jeito que 2020 tá malucão, eu não duvido de nada. Kkkkkkkk",0
27,2020-08-21 11:50:35,,"RT @viniciusscallop: Ninguém pediu frio mano, eu queria CHUVA",0
28,2020-08-21 11:19:51,"Cuiabá, Brasil","RT @viniciusscallop: Ninguém pediu frio mano, eu queria CHUVA",0
29,2020-08-21 11:19:03,Cuiabá-MT,"RT @jotajean4: Maior queimada aqui em Cuiabá-MT, aí o cuiabno pensa: vou lavar o carro né, vai que Deus olha o carro limpinho e resolve man…",0
30,2020-08-21 11:16:51,"Cuiabá, Mato Grosso, Brazil","Esfriou viu, e só as lembranças dos treinos com chuva a bola lisa igual sabonete e o coach gritando PEGA ESSA BOLAAAAAAAAA",0
31,2020-08-21 11:07:13,Brasil,"RT @viniciusscallop: Ninguém pediu frio mano, eu queria CHUVA",0
32,2020-08-21 10:38:06,"Espigão d'Oeste, Brasil","RT @viniciusscallop: Ninguém pediu frio mano, eu queria CHUVA",0
33,2020-08-21 10:27:10,"Cuiabá, Brasil","Eu pedi pra Deus chuva que inunda e ele me deu um  frio, com certeza, é mt melhor",0
34,2020-08-21 10:27:08,"Cuiabá, Brazil","eu já não sei mais se é fumaça, neblina, chuva to entendendo nada dessa cidade",0
