,horario,local,texto,relevancia
0,2020-08-22 20:52:33,"Belém, Brasil",RT @cassioffaial: Em Belém não chega nem a chuva que cai em Ananindeua do que dirá o frio lá do Sul do país.,0
1,2020-08-22 20:50:59,"Belém, Brasil",RT @cassioffaial: Em Belém não chega nem a chuva que cai em Ananindeua do que dirá o frio lá do Sul do país.,0
2,2020-08-22 20:50:27,"Pará, Brasil",A chuva de hoje foi tão boa❤❤,0
3,2020-08-22 20:29:19,Belém ,"Ouvindo anunciação e lembrando dele

chove chuva https://t.co/J3tSUJBNIh",0
4,2020-08-22 20:20:10,"Belém, Brasil",RT @cassioffaial: Em Belém não chega nem a chuva que cai em Ananindeua do que dirá o frio lá do Sul do país.,0
5,2020-08-22 20:04:38,"Belém, Brasil","Que odio que ela nao veio😭😭😭😭 hj não foi meu dia, chuva",0
6,2020-08-22 19:55:31,"Belém do Pará, Brasil","@livmartinz @belemtransito O tempo fecha, fica umas nuvens carregadas, um vento tímido, mas chuva que é bom kk😔",0
7,2020-08-22 19:53:32,Belém-PA,A chuva vem dizendo que: é tempo de mudanças!!,0
8,2020-08-22 19:49:20,"Belém, Brasil","Meu pai a chuva em Santy Mary  AMÉM, AMÉM",1
9,2020-08-22 19:41:29,,RT @_eumariane: chuva c cheirin de terra molhada,1
10,2020-08-22 19:36:15,Belém ,RT @cassioffaial: Em Belém não chega nem a chuva que cai em Ananindeua do que dirá o frio lá do Sul do país.,0
11,2020-08-22 19:36:04,"Belém, Pará",RT @cassioffaial: Em Belém não chega nem a chuva que cai em Ananindeua do que dirá o frio lá do Sul do país.,0
12,2020-08-22 19:33:53,"Belém, Brasil","@iasmimfrances Eu reclamo do calor e reclamo, mais ainda da chuva. Eu moro na baixada do Marco e nunca vou romantizar chuva, afinal aqui a gente fica sem rua pra andar e nem ônibus passa se ficar tudo alagado",0
13,2020-08-22 19:28:14,"Pará, Brasil","Dormi com sol e acordei c chuva, deus não nos abandonou 🙏🏾🙏🏾🙏🏾 sinal que não vai faltar água essa semana 😭😭😭",1
14,2020-08-22 19:28:01,belém,chuva em mosqueiro irmãos,1
15,2020-08-22 19:26:04,"Belém, Brasil",Chuva em Parauapebas. Um milagre.,1
16,2020-08-22 19:24:33,"Pará, Brasil",chuva c cheirin de terra molhada,1
17,2020-08-22 19:19:50,"Belém, Brasil",RT @cassioffaial: Em Belém não chega nem a chuva que cai em Ananindeua do que dirá o frio lá do Sul do país.,0
18,2020-08-22 19:18:14,"Belém, Brasil",RT @cassioffaial: Em Belém não chega nem a chuva que cai em Ananindeua do que dirá o frio lá do Sul do país.,0
19,2020-08-22 19:14:15,Belém-Pa,Cadê essa chuva que eu não vi aqui no setor???? https://t.co/frYAB0l74K,0
20,2020-08-22 19:08:54,Belém - Pará - Brasil,Ventinho de chuva 🥰,0
21,2020-08-22 18:59:15,"Belém, Pará",@_jessisozinho Que chuva? 😳,0
22,2020-08-22 18:58:35,"Pará, Brasil",chuva 😃,1
23,2020-08-22 18:57:34,"Belém, Brasil",cheguei antes da chuva pelo menos !,0
24,2020-08-22 18:56:11,Belém - PA,"Após quase 30 dias, chuva em Belém...",1
25,2020-08-22 18:54:30,Belém - Brazil,Acabou a chuva. Agora só em novembro 🤧🤧🤧🤧,0
26,2020-08-22 18:51:13,Belém,durou nem 10 min a droga dessa chuva na moral,0
27,2020-08-22 18:50:40,Belém ,"Esperava chuva, recebi calor ...",0
28,2020-08-22 18:49:42,Belém,meu deus finalmente chuva no bairro da pedreira valeu a pena sacrificar as vidas de alguns parentes,1
29,2020-08-22 18:49:24,"Belém, Brasil",Chuva de Belém foi flop,0
30,2020-08-22 18:49:11,"Pará, Brasil","Vai dar uma chuva do caralho agora, céu tá todo preto maluco",0
31,2020-08-22 18:48:17,"Belém, Brasil","Não chovia há uns 15 dias

Jogo do Paysandu

Chuva do nada",1
32,2020-08-22 18:47:45,"Belém, Pará",@_jessisozinho Pra cá Guamá não chegou a chuva,0
33,2020-08-22 18:47:37,"Belém, Brasil","Pronto. Já passou a chuva. Foi pra enganar os bestas, mais tarde vem fumaça",0
34,2020-08-22 18:46:27,Pará,"E essa massa de ar frio que fez até nevar?

Em Belém o máximo (ou mínimo, dependendo da interpretação) que estamos tendo é uma chuva com gotas quentes, depois de mil dias sem chover, com uma sensação térmica de inferno dentro do sol",0
35,2020-08-22 18:46:14,Belém,chuva????????,1
36,2020-08-22 18:45:48,Belém/PA,"RT @negraolucas: Em 2018 pintei azulejos para quebra-los e criar obras maiores e com mais volume. 

1- Abandono, tombamento em dias de chuv…",0
37,2020-08-22 18:43:48,Pará,ai senhor obrigada pela chuva,1
38,2020-08-22 18:42:00,"Belém, Pará",CHUVA CARALHOOOO,1
39,2020-08-22 18:41:16,"Belém, Brasil",É a vez de Belém se deliciar na chuva,1
40,2020-08-22 18:40:42,"Belém, Brasil","Meu Deus é chuva
 Quanto tempo que eu não via uma",1
41,2020-08-22 18:40:25,"Belém, Brasil",tava com saudade dessa sumida chamada... chuva,1
42,2020-08-22 18:40:21,"Pará, Brasil",@EEstumano chuva,1
43,2020-08-22 18:40:05,"Belém, Brasil",chuva em Belém🤩😘🤩😘🤩🥰🤩😘🤩😍🤩😘🤩😘🤩🤩,1
44,2020-08-22 18:40:03,belém,CHUVA KRL,1
45,2020-08-22 18:39:29,"Belém, Brasil",finalmente chuva,1
46,2020-08-22 18:36:46,Belém,@raffaocr égua amigo que mico que foi essa chuva kkkkkkk,1
47,2020-08-22 18:25:52,"Belém, Brasil",@bielsena11 voltou a rolar chuva,1
48,2020-08-22 18:24:06,"Belém, PA, Brazil","Esperando essa chuva cair desde as 11h, será q vem aí",0
49,2020-08-22 18:21:44,"Belém, Brasil",Mordido que tá todo mundo falando de chuva e no meu país pedreira não caiu uma gota 🤬👺,0
50,2020-08-22 18:20:33,"Belém, PA","Caiu 0,50 centavos de chuva aqui pela Pedreira, nem precisou tirar as roupas do varal.",0
