,horario,local,texto,relevancia
0,2020-08-22 20:59:40,,"RT @LorranPhelipe: Como posso desejar chuva e neve, se tem gente que dorme no relento! https://t.co/PgOQehbvuS",0
1,2020-08-22 20:39:07,"Guanambi, Brasil","RT @LorranPhelipe: Como posso desejar chuva e neve, se tem gente que dorme no relento! https://t.co/PgOQehbvuS",0
2,2020-08-22 20:34:32,,"RT @LorranPhelipe: Como posso desejar chuva e neve, se tem gente que dorme no relento! https://t.co/PgOQehbvuS",0
3,2020-08-22 20:28:20,"Recife,PE",@TiagoAraujo___ Eu fui guerreira e fui na chuva msm kkkk,0
4,2020-08-22 20:18:40,"Recife, Brasil","Já silenciei os grupos do trabalho. Já comprei minhas brejas e shopping agora só TERÇA. 

Chuva de likes!!!!!",0
5,2020-08-22 19:49:51,"Recife, Brasil",pelo amor de Deus sem chuva amnh 😫,0
6,2020-08-22 19:47:04,,RT @__aquarianxx: cinco minutos de chuva e o ibura de baixo se acaba na água kkkkk,1
7,2020-08-22 19:39:09,"Olinda, Brasil",@ta1carai ne foda kkkkkkkkkkkkk levei chuva umas 4 vezes hj,0
8,2020-08-22 19:37:29,recife,RT @_lucasgbsilva: Recifense quando chove um pouco,0
9,2020-08-22 19:36:38,"Pernambuco, Brasil",Recifense quando chove um pouco https://t.co/E7M93vBw9P,0
10,2020-08-22 19:33:09,"Curitiba, Brasil","RT @LorranPhelipe: Como posso desejar chuva e neve, se tem gente que dorme no relento! https://t.co/PgOQehbvuS",0
11,2020-08-22 19:30:07,"São Gonçalo, Brasil","RT @LorranPhelipe: Como posso desejar chuva e neve, se tem gente que dorme no relento! https://t.co/PgOQehbvuS",0
12,2020-08-22 19:21:36,Space,"RT @LorranPhelipe: Como posso desejar chuva e neve, se tem gente que dorme no relento! https://t.co/PgOQehbvuS",0
13,2020-08-22 19:02:59,"Pernambuco, Brasil","@AdrianoCezak A gauchada da minha família está congelando,Porto Alegre de 5°, e eu aqui em Pernambuco IMORTAL com 25° ,29° no inverno. Agora pergunta pra mim se eu tô sentindo falta do Sul? E aqui estamos no inverno,mas até a chuva é quentinha!!",1
14,2020-08-22 19:02:05,Recife,"Sonhando que o T3 da tempestade vai ter, vento,  gelo, chuva,  raio... realidade vai ser um raio só https://t.co/sBHXygGTHh",0
15,2020-08-22 19:01:28,Pernambuco,@zhangxaen Amiga para de mudar minha visão sobre a chuva KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,0
16,2020-08-22 18:54:27,Pernambuco,@zhangxaen Já eu amo chuva amiga,0
17,2020-08-22 18:53:05,,"RT @LorranPhelipe: Como posso desejar chuva e neve, se tem gente que dorme no relento! https://t.co/PgOQehbvuS",0
18,2020-08-22 18:52:03,,"RT @LorranPhelipe: Como posso desejar chuva e neve, se tem gente que dorme no relento! https://t.co/PgOQehbvuS",0
19,2020-08-22 18:47:35,"Pernambuco, Brasil",@rebanhodamm Chuva de votos ❤,0
20,2020-08-22 18:44:03,"Recife, Brazil","Clima em Recife:
Temperatura: 24ºC 🤧
Sensação Térmica: 24ºC 🤧
Aparência: Chuva leve 🌦️
Umidade do ar: 90%",1
21,2020-08-22 18:38:16,"Aracaju, Brasil","RT @LorranPhelipe: Como posso desejar chuva e neve, se tem gente que dorme no relento! https://t.co/PgOQehbvuS",0
22,2020-08-22 18:36:44,"Recife, Brasil",Odeio dirigir com chuva 😒,1
23,2020-08-22 18:36:29,"Recife, Brasil",Chuva da porra e nós fazendo entrega na macaxeira @4rthuzln,1
24,2020-08-22 18:29:45,"Recife, Brazil","@marelevola Total!! Eu amo chuva e penso logo nisso quando o povo daqui reclama muito
Agora o que mais me chamou atenção no Tweet é, real qchuva pode trazer tragédia: desabamento, enchente, os povos e animais de rua, tudo isso aqui na cara do cidadão mas ele só percebe com filme asiático...",0
25,2020-08-22 18:28:16,"Recife, Brasil",Eu resolvo andar de bike e fico 1 hora Preso na chuva na puta que pariu,1
26,2020-08-22 18:20:01,"Recife, Brazil","RT @LorranPhelipe: Como posso desejar chuva e neve, se tem gente que dorme no relento! https://t.co/PgOQehbvuS",0
27,2020-08-22 18:18:39,,"RT @LorranPhelipe: Como posso desejar chuva e neve, se tem gente que dorme no relento! https://t.co/PgOQehbvuS",0
28,2020-08-22 18:18:02,Recife-PE,quando ia pedir uma cervejinha começou a chuva :(,1
29,2020-08-22 18:16:04,"Olinda, Brasil",chuva da porra só queria pega minha elitra d volta,1
30,2020-08-22 18:15:36,"Recife, Brasil",o sonho da praia amanhã está indo pelo esgoto junto com essa chuva toda,1
31,2020-08-22 18:12:12,"Recife, Brasil",Mrm levei uma chuva da poha agr.,1
32,2020-08-22 18:11:56,Pernambuco,E eu que estava no meio na rua e comecei a chorar quando vi dois gatinhos filhotes na chuva,0
33,2020-08-22 18:08:24,"Pernambuco, Brasil",Botei na chuva a desculpa perfeita pra eu não correr hoje.,0
34,2020-08-22 18:02:07,,"RT @LorranPhelipe: Como posso desejar chuva e neve, se tem gente que dorme no relento! https://t.co/PgOQehbvuS",0
35,2020-08-22 17:58:58,recife,a pessoa pensou em como a chuva afeta a vida do pobre pela primeira vez dentro de uma sala de cinema e se acha justiceira social por isso,0
36,2020-08-22 17:49:55,"Recife, Brasil",Obrigado beyoncé  por essa chuva,1
37,2020-08-22 17:49:47,"Recife, Brasil","Se fosse só chuva, mas tá quase um dilúvio",1
38,2020-08-22 17:48:09,"Recife, Brasil",Só chuva,1
39,2020-08-22 17:47:41,"Recife,PE",Kkkkkk eu aqui esperando a chuva passar e a galera da casa arriando com algum alvirrubro e a trilha sonora!? Artigo de vitrine.,1
40,2020-08-22 17:41:49,"Recife, Brasil","Sábadou na chuva, e tome brejaa",1
41,2020-08-22 17:37:32,"Recife, Brasil","@babi Odeio chuva, me julguem",0
42,2020-08-22 17:31:35,"Recife, Brasil","Torcendo pra chuva parar um pouquinho e assim vou pedir meus lanches, pra curtir minha night de sábado assistindo série 🥰❤️",1
43,2020-08-22 17:31:31,"Pernambuco, Brasil",O date hoje foi fugindo de chuva e dormindo na praça de alimentação,0
44,2020-08-22 17:29:14,"Recife, Brazil",@casbranco Antes da chuva https://t.co/lVacxAKytB,0
45,2020-08-22 17:27:31,Recife-PE,Chuva + #DCFanDome + ... = Sabadou,1
46,2020-08-22 17:25:04,"Pernambuco, Brasil",Frio + chuva + vizinho voz e violão do lado = 💕,1
47,2020-08-22 17:24:37,"Recife, Brasil","Segunda vez que piso na praia, e do nada chove. Não tá fácil. 😂🧜🏻‍♂️",1
48,2020-08-22 17:24:28,"Recife, Brasil","clima de recife tem algo contra o fim de semana pq só chove nele, pqp viu",0
49,2020-08-22 17:15:41,recife,@tavares_g_ botar um biquíni p tomar banho de chuva,1
50,2020-08-22 17:12:58,"Recife, Brasil","@Sophiaoxe @leleninist A vrdd é q p gente do nordeste (litoral e zona da mata) quando começa a chover a gnt já pensa “tomara que esteja chovendo no agreste e sertão tbm”
A chuva cai diferente p cada pessoa e em ambos os casos são os abismos sociais tbm (além da condição natural do semiárido)",0
51,2020-08-22 17:09:47,Recife,Do nada veio chuva,1
52,2020-08-22 17:08:40,"Recife, Brasil",saí hoje e peguei uma chuva e vamos de gripe,0
53,2020-08-22 17:04:53,Recife,@meninov1tor leve um guarda-chuva,0
54,2020-08-22 17:04:49,"Recife, Brasil",Chuva do carai,1
55,2020-08-22 16:56:41,"Imbiribeira, Recife","Dias de Lua, dias de chuva 😢",1
56,2020-08-22 16:56:17,Recife,"minha felicidade durou tao pouco, chuva da porra frio do caraiiii",1
57,2020-08-22 16:47:02,"Recife, Brasil",Chuva do carai e vitinho inventou de vim de moto hoje,1
58,2020-08-22 16:46:29,"Recife, Brasil",e vamos de chuva estragando meu dia que ainda nem começou,1
59,2020-08-22 16:44:01,Pernambuco,E vamos de banho de chuva mais uma vez,1
