,horario,local,texto,relevancia
0,2020-08-22 20:59:10,"Rio de Janeiro, Brasil",eu quero a chuva que me prometeram,0
1,2020-08-22 20:58:52,"Cuiabá, Brasil","RT @guilhermesousa: Queria aqui agradecer ao jovem twitteiro por abrir meus olhos. Eu jurava que o problema do planeta era a chuva, estou c…",0
2,2020-08-22 20:58:41,,"RT @niquefds: Graças a Deus o tempo melhora amanhã 🙏🏽 nós que temos lar, comida e cobertor seco vivemos reclamando, eu fico pensando nos mo…",0
3,2020-08-22 20:58:10,Rio de Janeiro ,Chuva chata do crlho 🤦‍♂️,1
4,2020-08-22 20:57:37,"Rio de Janeiro, Brasil","RT @djxande_: Pandemia + chuva = quem não tem uma costela pra se aquecer, chora 😅😂",0
5,2020-08-22 20:57:34,"Três Rios, Brasil","RT @meninaaaa90: Chuva desnecessária, frio desnecessário, mês desnecessário...😖",1
6,2020-08-22 20:57:33,"Belford Roxo, Brasil","Trabalhei igual fdp na chuva hoje, um frio do crl",0
7,2020-08-22 20:57:16,Descubra❤!!,RT @crf_isaac3: Chuva quebrou todos os planos ✊🏽😔,1
8,2020-08-22 20:57:04,"Bangu, Rio de Janeiro","RT @meninodohomem5: Odeio chuva,só fico dentro de casa e não gosto de ficar em casa 🤦🏼‍♂️🤬",0
9,2020-08-22 20:56:54,"Nova Iguaçu, Brasil",RT @BrenoLEsquerdo: Tá parecendo Dark só chove,1
10,2020-08-22 20:56:30,"Espírito Santo, Brasil","RT @SenhorJuninho: 3$ reais de taxa, é caro né querido cliente? Mal sabe o que nós motoboy passamos, enfrentamos chuvas, roubos, etc.. só p…",0
11,2020-08-22 20:56:16,,"RT @rmotta2: Tive que sair nessa chuva pra resolver um assunto.
Parei no sinal em frente a um bar.
LO-TA-DO.
Nunca pensei que fosse ficar t…",0
12,2020-08-22 20:56:16,26/04💏,"RT @bal_rayane: Queria estar numa pousada na serra, vendo a chuva cair, com uma lareira e bem agarradinha 🌨❤️",0
13,2020-08-22 20:55:58,,"RT @bal_rayane: Queria estar numa pousada na serra, vendo a chuva cair, com uma lareira e bem agarradinha 🌨❤️",0
14,2020-08-22 20:55:48,Rio de Janeiro,"VÁ CORRENDO ASSISTIR ESSE CLIPE. 

Chuva de belos comentários e carinhos ao nosso ALUMIOU.

Clipe filmado em SALVADOR antes da pandemia. A música ALUMIOU faz parte do CD Alumiou de Alan Rocha, disponível nas… https://t.co/vfYxVoXt3v",0
15,2020-08-22 20:55:41,"Vista Alegre, Rio de Janeiro",Única chuva que quero hj é de vodka 🤪,0
16,2020-08-22 20:55:33,Rio de Janeiro ,"RT @bal_rayane: Queria estar numa pousada na serra, vendo a chuva cair, com uma lareira e bem agarradinha 🌨❤️",0
17,2020-08-22 20:55:23,"Anchieta, Rio de Janeiro",@Carollmikael Chuva e o frio também,0
18,2020-08-22 20:55:20,"Taquara, Rio de Janeiro",Ta na chuva é pra se Neymar !!!!!,0
19,2020-08-22 20:55:09,"São Paulo, Brasil","RT @guilhermesousa: Queria aqui agradecer ao jovem twitteiro por abrir meus olhos. Eu jurava que o problema do planeta era a chuva, estou c…",0
20,2020-08-22 20:54:46,,"RT @meninaaaa90: Chuva desnecessária, frio desnecessário, mês desnecessário...😖",1
21,2020-08-22 20:54:45,"Rio de Janeiro, Brazil","RT @kamily_m1: eu gosto de frio, mas sem chuva",0
22,2020-08-22 20:54:19,"Rio de Janeiro, Brasil",RT @juxleall: Como que vcs tem disposição pra sair nesse frio e chuva? Na moral,1
23,2020-08-22 20:54:10,"Rio de Janeiro, Brazil",@isabelaevertonn mano se vc tomar banho de chuva vc congela doida tá frio p caralho,0
24,2020-08-22 20:54:07,"Realengo, Rio de Janeiro","peguei uma cachorrinha que tava na rua hoje na chuva maior frio e trouxe pra casa , meu coração  é muito bom namoral..",0
25,2020-08-22 20:53:58,•027 ,"RT @almeidauai: chuva: a

wifi: boa noite",0
26,2020-08-22 20:53:52,"Pernambuco, Brasil","RT @bal_rayane: Queria estar numa pousada na serra, vendo a chuva cair, com uma lareira e bem agarradinha 🌨❤️",0
27,2020-08-22 20:53:46,,"RT @jeansilva_22: 5 reais de taxa é caro  ne senhor cliente? mas isto voces não vê , de baixo de forte chuva ou sol quente fique em paz que…",0
