,horario,local,texto,relevancia
0,2020-08-19 20:27:45,Porto Alegre,Dia nublado pós chuva &gt;&gt;&gt;&gt;&gt; https://t.co/ddCV9lgGqO,0
1,2020-08-19 20:27:07,"Porto Alegre, Brasil","Mas eu sinto que eu 'to viva
A cada banho de chuva que chega molhando meu corpo nu",0
2,2020-08-19 20:09:03,"Santo André, Brasil","RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
3,2020-08-19 19:28:23,Florensobrocolis,"RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
4,2020-08-19 19:27:26,"São Paulo, Brasil","RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
5,2020-08-19 19:22:51,"Porto Alegre, Brasil","@Kerberosgmg @ClaroBrasil Ontem caiu o mundo de chuva em Porto Alegre e o serviço continuou. Hoje, que tava ensolarado, estava sem internet e agora fica mais caindo do que voltando. 

Só quero dar minha aulinha remota Brasil 🥺",0
6,2020-08-19 19:14:31,"Porto Alegre, Brazil",Minha fotinho pós natação rendeu hein chuva de reply,0
7,2020-08-19 19:11:25,"Gravataí, Brasil","RT @c_isabelaa: saudades churrascada na panatlântica ano passado, banho de chuva, caímos no lago, voleizinho e fut a tarde toda, eu tava co…",0
8,2020-08-19 19:10:28,"São Paulo, SP.","RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
9,2020-08-19 19:10:25,Eldorado do Sul,"Um dia nós se encontra, um altar e chuva de arroz",0
10,2020-08-19 19:09:50,Na puta que pariu ,"RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
11,2020-08-19 19:09:20,,"RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
12,2020-08-19 19:03:17,Porto Alegre,chuva de historia inventada pra ganhar like no twitter,0
13,2020-08-19 19:00:35,"Rio de Janeiro, Brasil","RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
14,2020-08-19 18:53:51,"Barbacena, Brasil","RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
15,2020-08-19 18:37:30,Brasil,"RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
16,2020-08-19 18:37:20,"Konya, Türkiye","RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
17,2020-08-19 18:36:18,"Blumenau, Santa Catarina","RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
18,2020-08-19 18:27:27,"Rio de Janeiro, Brasil","RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
19,2020-08-19 18:25:37,"Lavras, Brasil","RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
20,2020-08-19 18:24:56,FC: 1611-9889-3200,"RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
21,2020-08-19 18:24:09,"Cacoal, Brasil","RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
22,2020-08-19 18:24:05,"Campos dos Goytacazes, Brasil","RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
23,2020-08-19 18:23:33,+5595,"RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
24,2020-08-19 18:21:22, ST. PERCY,"RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
25,2020-08-19 18:21:15,"São Paulo, Brasil","RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
26,2020-08-19 18:20:58,Porto Alegre,@KakaBairros Teve chuva congelada aí??,0
27,2020-08-19 18:20:14,Moreira Sales,"RT @amarelito: não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
28,2020-08-19 18:19:48,Porto Alegre - RS,"não vou ficar pra chuva n

abs https://t.co/OkN6L8VbpN",0
29,2020-08-19 18:13:18,"Canoas, Brasil","""Eu gosto de chorar na chuva porque assim ninguém vê minhas lágrimas descerem"".

~Charlie Chaplin.",0
30,2020-08-19 18:11:48,,"RT @GauchaZH: O leitor Mário Machado compartilhou esta foto de um raio na Capital na noite desta terça-feira (18).  

Registrou chuva ou gr…",0
31,2020-08-19 18:08:30,"Porto Alegre, Brasil",Postei no insta e no wpp e ta tendo uma chuva de elogios sobre as coleções 🥰🙏🏻,0
32,2020-08-19 17:53:23,Porto Alegre,@kkotinha eu comprei a passagem a chuva de chocolate deve ter chego antes,0
33,2020-08-19 17:53:18,Rio de Janeiro/Porto Alegre,@gfdozap Quando perderam aquela chuva de gols no início eu sabia que a culpa era minha,0
34,2020-08-19 17:51:16,"Cachoeirinha, Brasil",@RochaPierry @juninhocamisa7 Quando chove ja lava,0
35,2020-08-19 17:48:07,"Goiânia, Brasil","RT @sergiorvitoria: ☔️ CHUVA DE SEGUIDORES! 🌦️
💬 Deixe seu @ nos comentários 
👥 Siga todos que comentarem 
🤍 Curta 
🔁 Retweet 
⛓️Não quebre…",0
36,2020-08-19 17:44:10,"Canoas, RS","Eu tenho pavor de cliente que demora pra aprovar os jobs, e quando responde pede chuva de alteração e quer tudo com URGÊNCIA. 

Legítimo PAU NO CU.",0
37,2020-08-19 17:42:06,"Porto Alegre, Brasil","Lavei o carro, amanhã chove",0
38,2020-08-19 17:26:32,"Porto Alegre, Brasil","A gente se fala no olhar

OLHAR

É água de chuva no mar

NO MAAAR",0
39,2020-08-19 16:55:56,"Cachoeirinha, Brasil","Se pedirmos Jesus virá, como chuva descerá 🙌🏽❤️",0
40,2020-08-19 16:53:31,"Porto Alegre, Brasil","Depois que nascem, os pró-vida somem. Cheio de crianças e adolescentes esperando alguém para adotá-los e nada. Quando uma parcela destes cai para o mundo do crime, chove de pedido de menoridade penal ou de pena de morte. Vai entender, né? https://t.co/hipbaojgyp",0
41,2020-08-19 16:43:26,mabi is my person.,"RT @observint: Fortes chuvas nos últimos dias vêm causando estragos na província de Sichuan, no centro/sul da China. Por causa das inundaçõ…",0
42,2020-08-19 16:37:59,Porto Alegre,"A província de Gansu, ao norte de Sichuan, também sofre com alagamentos por causa das chuvas https://t.co/igbXT8M2ko",0
43,2020-08-19 16:37:56,Porto Alegre  ,Ouvindo chuva de novembro e estudando microbiologia pois tudo a ver,0
44,2020-08-19 16:32:44,Porto Alegre,"@melissagravina_ Eu não gosto daquele frio terrível que não dá pra trabalhar com chuva junto, o de hoje tá gostozinho ok",0
45,2020-08-19 16:20:00,"Porto Alegre, Brasil",@raisao_ “esperar você é como esperar chuva nessa seca: inútil e decepcionante”,0
46,2020-08-19 16:05:56,"Porto Alegre, Brasil",Dividir um gudang na chuva com gente que nunca vi na vida enquanto o tio prepara meu cachorro quente e o uber chega.....bons tempos..... https://t.co/U32eC7xxiQ,0
47,2020-08-19 15:58:14,Porto alegre Rs,"O barulho da chuva é bom, parece frango fritando",0
48,2020-08-19 15:55:14,"Porto Alegre, Brasil",alá a chuva kkkkkkk a não são as minhas lágrimas https://t.co/D0w4hM3EUU,0
49,2020-08-19 15:52:16,"Porto Alegre, Brasil","RT @CmdoCMS: Operação Passo do Socorro. Há 55 anos, a Engenharia do @exercitooficial realizou uma das mais complexas operações de transposi…",0
50,2020-08-19 15:35:37,"Rio de Janeiro, Brasil","RT @Cpersoficial: Lajeado, debaixo de chuva, na luta pela vida! #EscolasFechadasVidasPreservadas https://t.co/v9Cn5208hJ",0
51,2020-08-19 15:12:41,"Porto Alegre, Brasil","Noé era chamado de tolo ate vir a chuva, mt Fé",0
52,2020-08-19 14:30:18,,"RT @Cpersoficial: Lajeado, debaixo de chuva, na luta pela vida! #EscolasFechadasVidasPreservadas https://t.co/v9Cn5208hJ",0
53,2020-08-19 14:22:14,,"RT @Cpersoficial: Lajeado, debaixo de chuva, na luta pela vida! #EscolasFechadasVidasPreservadas https://t.co/v9Cn5208hJ",0
54,2020-08-19 14:19:59,Guaíba RS,"Até quando esse institutao vai reinar sozinho?
Até quando a inércia das emissoras?
Só funciona com frio e chuva?
Tem coisa aí",0
55,2020-08-19 14:13:37,,"RT @Cpersoficial: Lajeado, debaixo de chuva, na luta pela vida! #EscolasFechadasVidasPreservadas https://t.co/v9Cn5208hJ",0
56,2020-08-19 14:12:50,"Porto Alegre, RS","Lajeado, debaixo de chuva, na luta pela vida! #EscolasFechadasVidasPreservadas https://t.co/v9Cn5208hJ",0
57,2020-08-19 13:52:06,,"Se 2021 for um ano bom, pode ter certeza que chove o ano inteiro 😓",0
58,2020-08-19 13:51:49,"Porto Alegre, Brasil",ainda sabe toda letra de chuva de novembro: 1 membro ✌🏻😗✌🏻,0
59,2020-08-19 13:48:33,"Gravataí, Brasil",@Dionathan_BS Chuva de whisky,0
60,2020-08-19 13:47:01,Lugano-Suiça/Quixeramobim-Ce,"RT @sergiorvitoria: 🕺 Boa tarde, Patriotas!
☔️ CHUVA DE SEGUIDORES! 🌦️
💬 Deixe seu @ nos comentários 
👥 Siga todos que comentarem 
🤍 Curta…",0
61,2020-08-19 13:27:52,,"RT @CmdoCMS: Operação Passo do Socorro. Há 55 anos, a Engenharia do @exercitooficial realizou uma das mais complexas operações de transposi…",0
62,2020-08-19 13:20:01,chromatica,RT @losurdopicles: @divinetankie sim tem gente que toma café sem nenhum açúcar. é mais ou menos igual a tomar água suja da rua depois que c…,0
63,2020-08-19 13:19:35,Imbituba - SC - Brasil,"RT @sergiorvitoria: 🕺 Boa tarde, Patriotas!
☔️ CHUVA DE SEGUIDORES! 🌦️
💬 Deixe seu @ nos comentários 
👥 Siga todos que comentarem 
🤍 Curta…",0
64,2020-08-19 13:17:18,"Porto Alegre, Brasil","🕺 Boa tarde, Patriotas!
☔️ CHUVA DE SEGUIDORES! 🌦️
💬 Deixe seu @ nos comentários 
👥 Siga todos que comentarem 
🤍 Curta 
🔁 Retweet 
⛓️ Não quebre a corrente! 
🇧🇷 Bolsonaro precisa do nosso apoio para salvar o Brasil!",0
65,2020-08-19 13:12:08,"Humaitá, Brasil","Me enchi de roupa e trouxe guarda-chuva, no meio do caminho PAH uma ""lombinha"" que comecei a suar, agora estou voltando ao meu estado normal e passo bem.",0
66,2020-08-19 13:08:18,"Porto Alegre, Brasil",@divinetankie sim tem gente que toma café sem nenhum açúcar. é mais ou menos igual a tomar água suja da rua depois que chove,0
67,2020-08-19 12:58:04,Berço da revolução Farroupilha,RT @fernao_berthold: Porto Alegre: noite com chuva e raios. 🌡️ 17°C https://t.co/Euy8pBH2ZP,0
68,2020-08-19 12:51:33,"Porto Alegre, Brasil",RT @alohamarcinha: Chuva boa para uma concha 🐚 💔,1
69,2020-08-19 12:46:15,"Porto Alegre, Brasil","meu que absurdo colocaram uns guarda chuvas em volta do corpo e a loja continuou funcionando como se nada tivesse acontecido, escancarado demais que pros capitalistas os seus lucro valem muito mais que nossas vidas https://t.co/edizKp1vWO",0
70,2020-08-19 12:27:40,"Porto Alegre, Brasil",Chegou as moto nova na empresa e o guri já tá dando banho nelas mesmo na chuva. Cheirinho de novo é outra parada,1
71,2020-08-19 12:02:39,,"RT @CmdoCMS: Operação Passo do Socorro. Há 55 anos, a Engenharia do @exercitooficial realizou uma das mais complexas operações de transposi…",0
72,2020-08-19 11:48:12,Porto Alegre ,"@RolderWangler Bah... aqui tá nublado, frio e logo a chuva retorna.",0
73,2020-08-19 11:03:07,"Campinas,–SP","RT @CmdoCMS: Operação Passo do Socorro. Há 55 anos, a Engenharia do @exercitooficial realizou uma das mais complexas operações de transposi…",0
74,2020-08-19 10:54:34,Porto Alegre,chuva de granito em minas,0
75,2020-08-19 10:46:07,"Porto Alegre, Brasil","@g1 Não duvido que ainda cobrem o valor dos guarda-chuvas da família do falecido. ""Morreu, mas o lucro passa bem.""",0
76,2020-08-19 10:43:13,"Porto Alegre, Brazil",Eu sou a aranha que comporta a chuva.,0
77,2020-08-19 10:42:14,"Cachoeirinha, Brasil","Cachoeirinha, chove e falta água.",1
