,horario,local,texto,relevancia
0,2020-08-21 20:59:35,Brasil,"RT @tricovotweets: Ontem, às 20h00, Paulinho Boia não foi relacionado para o jogo pois estava ""gripado"". Hoje pela manhã, treinou normalmen…",0
1,2020-08-21 20:58:21,"São Paulo, Brasil",RT @barbaradzz: do que adianta essa friaca e essa chuva se vc não ta aqui pra dormir de conchinha cmg??????????,1
2,2020-08-21 20:57:31,,RT @rebs_rebeca: Esse tempo frio com chuva me lembra muito a Etec,0
3,2020-08-21 20:56:02,"São Bernardo do Campo, Brasil",@AmandaAlvesB_ Melhor pegar ônibus na chuva e frio que com um monte de fedido 😳,0
4,2020-08-21 20:53:43,"São Paulo, Brasil","@goulart_lenita Aqui, litoral sul de sp, 9 graus com sensação de 6 e muita chuva.",1
5,2020-08-21 20:51:10,São Luis-Ma,"RT @DouglasGarcia: 2) Se a luta contra o sistema é vencer pelo cansaço, então preparem-se para a chuva de requerimentos na ALESP e petições…",0
6,2020-08-21 20:50:53,São Paulo    Brasil,"O melhor barulho do mundo é a chuva caindo...
Quando a gente lê um livro com o som da chuva... 
Ler... é sonhar pela mão de outrem...
Livros... são sonhos que seguramos com as mãos...
Amantes de livros... nunca vão para cama sozinhos... https://t.co/4GExTHFuIZ",0
7,2020-08-21 20:50:40,Rio / Aracaju,"RT @DouglasGarcia: 2) Se a luta contra o sistema é vencer pelo cansaço, então preparem-se para a chuva de requerimentos na ALESP e petições…",0
8,2020-08-21 20:50:30,Santo André SP,"RT @engheltoncosta: Essa chuva e esse frio me faz pensar como estão as pessoas que que há não tem um teto digno para morar.

Há muitas famí…",0
9,2020-08-21 20:50:25,Santo André SP,RT @engheltoncosta: 📷 Essa chuva e esse frio me faz pensar como estão as pessoas que que há não tem um teto digno para morar. Há muitas fam…,0
10,2020-08-21 20:49:43,"São Paulo, Brasil","hoje no caminho de volta pra minha soon to be ex-terra, o aleatório do spotify só tocou as braba™️
nessa chuva, nesse frio, nesse momento pré mudança... foi quase cena de filme setaloko",0
11,2020-08-21 20:49:41,"Curitiba, Brasil","RT @Piroxzlol: Eu com meus 9 graus, tempo nublado, chuva, vento forte e café na mão https://t.co/2s5yRXDc2S",0
12,2020-08-21 20:49:15,Santo André SP,"RT @engheltoncosta: Essa chuva e esse frio me faz pensar como estão as pessoas que que há não tem um teto digno para morar.

Há muitas famí…",0
13,2020-08-21 20:48:42,São Caetano do Sul,"- Pandemia
- Frio absurdo
- Garoa/chuva

Esse é o sextou mais depressivo da história da humanidade",1
14,2020-08-21 20:47:20,,RT @JanjaLula: Alguém sabe onde fecha a torneira??? 48hs de chuva ininterrupta 🌧🌧🌧🐸🐸🐸,1
15,2020-08-21 20:47:17,Santo André SP,RT @engheltoncosta: 📷 Essa chuva e esse frio me faz pensar como estão as pessoas que que há não tem um teto digno para morar. Há muitas fam…,0
16,2020-08-21 20:46:57,Brasil,RT @JanjaLula: Alguém sabe onde fecha a torneira??? 48hs de chuva ininterrupta 🌧🌧🌧🐸🐸🐸,1
17,2020-08-21 20:46:19,"Brasília, Brasil","RT @DouglasGarcia: 2) Se a luta contra o sistema é vencer pelo cansaço, então preparem-se para a chuva de requerimentos na ALESP e petições…",0
18,2020-08-21 20:45:42,"São Paulo, Brasil",eu que não gosto de chuva nem pra dormir imagina se gosto em dia de trabalho,0
19,2020-08-21 20:45:37,"Sao Paulo, Brazil","@chelIl_ começando a acreditar numa chuva, apenas kkk",1
20,2020-08-21 20:45:29,"São Paulo, SP","Demorei uma hora e meia pra receber o pedido que fiz no @iFood e a pizza ainda chegou errado

Restaurante não atende e lá vamos nós na chuva até o lugar pedir pra trocar 

Hoje não é meu dia",1
21,2020-08-21 20:45:15,"São Gabriel, Brasil",RT @loud_victor: Dormir com chuva 😍,1
22,2020-08-21 20:45:12,"São Paulo, Brasil",Dia bom pra convidar os melhores amigos pra tomar um banho de chuva,0
23,2020-08-21 20:42:45,"São Paulo, Brazil",Sextou né com chuva e frio,1
24,2020-08-21 20:42:34,,RT @_vibarros_: A galera tudo postando sobre os entregadores...que sente dó... Que deve ser foda e blá blá blá mas quando a gente chega não…,0
25,2020-08-21 20:42:04,,"RT @DouglasGarcia: 2) Se a luta contra o sistema é vencer pelo cansaço, então preparem-se para a chuva de requerimentos na ALESP e petições…",0
26,2020-08-21 20:40:30,SP - São Paulo ,"tava muito frio, chovendo e não podia entrar por conta da pandemia, tinha gente sem guarda chuva, pessoas molhadas por conta da ventania levar o guarda chuva pra lá e pra cá, tinha um mlk dormindo em pé, e outras q nem eu com o pé formigando de tão molhado e gelado q tava.",0
27,2020-08-21 20:39:46,são paulo,Que venha chuva para a Califórnia https://t.co/hooEFUcSzF,0
28,2020-08-21 20:39:06,"Forks, WA","RT @carainay: @rockerpirate Guilherme, boa tarde. Tudo bem?
Por favor, poderia ajudar dando RT? Minha amiga perdeu a casa com a chuva de te…",0
29,2020-08-21 20:39:06,"Tatuape, São Paulo","mano esqueci o guarda chuva da minha vó no Vini 
minha vó vai comer meu cu",0
30,2020-08-21 20:38:37,"São Vicente, Brasil","RT @DouglasGarcia: 2) Se a luta contra o sistema é vencer pelo cansaço, então preparem-se para a chuva de requerimentos na ALESP e petições…",0
31,2020-08-21 20:38:29,,"RT @DouglasGarcia: 2) Se a luta contra o sistema é vencer pelo cansaço, então preparem-se para a chuva de requerimentos na ALESP e petições…",0
32,2020-08-21 20:37:30,"Sao Paulo, Brazil","obg pelos likes vou faltar msm, olha minha cara de quem vai ir trabalhar em um lugar onde 1. não recebi nada dia 5 e 2. vão olhar pra mim e dps pra chuva e falar ""coloca uma capa de chuva e vai atender os clientes lá vai"" https://t.co/RAxXSEzIoF",0
33,2020-08-21 20:37:10,,RT @JanjaLula: Alguém sabe onde fecha a torneira??? 48hs de chuva ininterrupta 🌧🌧🌧🐸🐸🐸,1
34,2020-08-21 20:36:32,Sao paulo,"8º aqui em Riberão Pires e eu estava agora terminando de jogar pedras no meu jardim em baixo da chuva. A gripe vem, mas a felicidade de saber que eu concluí tudo. Que a minha energia tá alí, em cada florzinha que eu plantei, em cada pedra que eu joguei. Esse jardim significa +",0
35,2020-08-21 20:36:26,"São Paulo, Brasil","Parou a chuva, temperatura com sensação térmica de 6°C, um cházin e um chá.",0
36,2020-08-21 20:36:19,"São Paulo, Brasil","Se você está nos dias de luta, ainda vai chegar os dias de festa e vai ser chuva de balão, muito lança e xereca 

https://t.co/5j0HK1U71E",0
