municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 00:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 01:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 02:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 03:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 04:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 05:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 06:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 07:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 08:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 09:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 10:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 11:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 12:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 13:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 14:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 15:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 16:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 17:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 18:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 19:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 20:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 21:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 22:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-01 23:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 00:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 01:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 02:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 03:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 04:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 05:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 06:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 07:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 08:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 09:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 10:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 11:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 12:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 13:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 14:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 15:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 16:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 17:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 18:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 19:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 20:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 21:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 22:30:00.0;0,00;
BRASÍLIA;530010804A;DF;Sobradinho;-47,8469;-15,6237;2020-08-02 23:30:00.0;0,00;
