municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 00:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 01:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 02:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 03:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 04:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 05:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 06:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 07:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 08:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 09:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 10:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 11:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 12:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 13:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 14:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 15:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 16:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 17:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 18:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 19:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 20:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 21:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-01 22:10:00.0;0,00;
