,horario,local,texto,relevancia,Sigla
0,2020-08-22 20:57:12,"João Pessoa, Brasil","@qbrunito Se você perceber os jurados todos estão cantando músicas em Português e no primeiro dia o Jarbas tbm cantou o cantando na chuva na versão brasileira, então está muito mais para um reflexo sobre como é o público jovem de musicais, que acha que apenas em inglês is good",0,JP
1,2020-08-22 20:13:07,"João Pessoa, Brasil",Tudo que eu queria agora era uma chuva beeeeeeeemmmmm forte pelo resto da noite.,0,JP
2,2020-08-22 20:01:39,João Pessoa - PB,"@JapaArtes @CorreiosBR @jairbolsonaro Essa merda já era pra estar privatizada, serviço porco e caro, Sedex chega a custar mais caro a outros serviços e demora mais. Estraviam produtos, danificam, aqui em casa já jogaram a encomenda por cima do portão, certa vez pegou chuva molhou tudo. Privatiza tudo...",0,JP
3,2020-08-22 16:53:34,"João Pessoa, Brazil","E  ̶p̶a̶r̶e̶c̶e̶ ̶q̶u̶e̶ ̶ quanto mais você mostra evidências e fatos claros, mais eles ciscam e esperneiam, tentando invalidar isso com a ""chuva de dislikes"" - que mostra o quão ridículo e raso é o pensamento dessa gente
+",0,JP
4,2020-08-22 16:26:59,"João Pessoa, Brasil","@xicosa @fabi2moraes Foi chuva, mas essa chuva não aconteceria se não fosse para salvar o Nordeste, há uma ideia de mercado no Instituto de Metereologia, que chuva no Nordeste é ruim para o turismo.",0,JP
5,2020-08-22 15:49:44,"João Pessoa, Brasil",@amana_chuva Claro. E provavelmente vai sair todo “sentido” depois das críticas que está recebendo,0,JP
6,2020-08-22 15:47:25,"João Pessoa, Brasil",@amana_chuva Foda!,0,JP
7,2020-08-22 15:42:15,"João Pessoa, Brasil",@amana_chuva Véi esse disco ♥️♥️♥️,0,JP
8,2020-08-22 14:10:24,João Pessoa - Paraiba,@tellmeylm Chuva THALITA MENEGHIM NO MULTISHOW,0,JP
9,2020-08-22 14:04:13,Além Paraiba,"c meu prato de miojo c creme de leite depois de uma manhã cansativa debaixo de chuva, quero guerra c ninguém.  😴",0,JP
10,2020-08-22 14:00:52,jpa,"prefiro mil vezes o sol dando moca, odeio chuva 🙄",0,JP
11,2020-08-22 13:52:26,"João Pessoa, Brasil","essa chuva n chegou no meu setor, q invejaaaa",0,JP
12,2020-08-22 12:10:29,João Pessoa/PB,"Mais um dia pra conta...
Com sol e chuva...
Ainda não na calçadinha da praia (meu lugar favorito para correr)...
Monótono é correr rodeando uma quadra ... enfim... https://t.co/DQfz4NqLWg",0,JP
13,2020-08-22 11:44:05,"Parahyba, Brasil",Aquele receio de colocar as roupas no varal sabendo que a qualquer momento precisará meter carreira pra tirar antes da chuva.,0,JP
14,2020-08-22 09:31:53,Jpa,"N adianta, eu sou uó p sair na chuva",0,JP
15,2020-08-22 08:49:13,João Pessoa/PB,RT @portalcorreio: #Tempo https://t.co/AQjmSlmzbo,0,JP
16,2020-08-22 08:38:09,"João Pessoa, PB",#Tempo https://t.co/AQjmSlmzbo,0,JP
17,2020-08-22 08:18:40,Além Paraiba,Amo chuva 💓,1,JP
18,2020-08-22 07:54:13,"João Pessoa, Brasil","Muito antes de Parasita, quando chove uma noite inteira em PE eu já imagino que alguma barreira caiu e tem pessoas em apuros. https://t.co/Gp23N7Tdh5",0,JP
19,2020-08-22 04:35:39,"João Pessoa, Paraíba","Disseram que som da chuva faz você dormir de volta... faz 1h que to ouvindo no YT, tirei por medo de inundação. Sigo acordada.",0,JP
20,2020-08-22 04:23:27,"João Pessoa, Brasil","Acordei às 04:00 pra ser fitness viu. Tô adivinhando chuva, só pode",1,JP
21,2020-08-22 02:35:32,"joão pessoa, PB","@guilhermesousa Continuo falando, principalmente por ter morado 3 anos da minha vida em uma região que mal chovia. A chuva era sempre motivo de festa na cidade 😅",0,JP
22,2020-08-22 01:18:18,"João Pessoa, Brasil","primeiro eu fiquei com medo deles escorregarem e caírem por causa da chuva,,,, dps do final eu queria msm era q isso tivesse acontecido https://t.co/rsgbJ6hfAQ",0,JP
23,2020-08-21 23:12:07,Além Paraiba,"fico pensando no gato tadinho, trabalhando nessa chuva .",1,JP
24,2020-08-21 22:45:54,"Paraíba, Brasil","@biurygirl forças mo, e chuva de bençãos para ela, vai passar dessa",0,JP
25,2020-08-21 22:37:31,"João Pessoa, Brasil","eu simplesmente não sou ninguém nos dias chuvosos de frio

antes de algum rolê eu sempre vejo a previsão do tempo, se estiver chovendo eu não vou

usar sombrinha é um saco, a pessoa se molha toda

chuva só presta pra dormir",0,JP
26,2020-08-21 22:08:27,"João Pessoa, Brasil","Dormir ao som de Rajadão na esperança de que a chuva da Vitória caia sobre mim, amém @pabllovittar",0,JP
27,2020-08-21 22:05:40,"João Pessoa, Brasil","se for da tua vontade Senhor, eu to pronto p essa chuva que tá formando",0,JP
28,2020-08-21 21:56:19,Na casa do crlhoo rss,RT @155Najulia: Que Deus proteja os motoboys nessa chuva ❤👐,1,JP
29,2020-08-21 21:10:52,"João Pessoa, Brasil ","tava eu lá na br de moto e uma chuva do carai... quando penso que não, tá minha mochila aberta voando tudo
pensei logo que o celular já era pq n ia achar nunca né, mas quando eu parei p olhar oq tinha caído, o celular apareceu do nada na bolsa e caiu no meu pé 🤔",0,JP
